config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f0_w0.666667_k12-36_e12,72,0.23866267206414976,0.4868398108559233,0.8017174270231646,1.0145946027759938,47.92870505247134,1.188095595580974,0.3485237883510599,101642.30473425414,0.5617659569530923,-0.07387450710812338
f200_w0.666667_k12-36_e12,72,0.23866673088681306,0.4869421133624652,0.8017141132244332,1.0146010747330814,47.938466938532535,1.188170568246808,0.3486039416363278,101642.42115068567,0.5619052549913596,-0.07391150471905177
f100_w0.666667_k12-36_e12,72,0.23866673088681306,0.48694254807628723,0.8017141132244332,1.0146010747330814,47.9385097843202,1.1881725521264013,0.34860375808384053,101642.57961907805,0.5619060133989393,-0.07391199893117426
f400_w0.666667_k12-36_e12,72,0.2386622494210317,0.48779318375783315,0.8017174270231646,1.0145946027759938,48.02267094774627,1.1876461914544083,0.3495300732049189,101644.48959262548,0.5628179928345121,-0.07366376734612652
f300_w0.666667_k12-36_e12,72,0.23866644927044506,0.4877915544340138,0.8017141132244332,1.0146010747330814,48.02218861917161,1.187646059176509,0.34952912430188443,101644.21425043138,0.5628189718408423,-0.07366376610892653
f400_w0.75_k48-48_e38.4,72,0.2708247237083544,0.48591567613137027,0.8333647828572718,1.0160228464839802,47.69282436932284,1.2012560628122013,0.35014882607354036,91426.44394882515,0.5690126689848712,-0.09116395773935544
f300_w0.75_k48-48_e38.4,72,0.27082798417193854,0.4859166452846337,0.8333641658462849,1.0160267838969375,47.692718771637985,1.2012568725612842,0.35014973918459286,91428.02449020995,0.5690155928001611,-0.09116374281177017
f0_w0.75_k48-48_e38.4,72,0.27501104857251063,0.4860541739667538,0.8333584163784443,1.0160228464839802,47.70647524138892,1.2015450931940033,0.3502221951568269,91427.17335248139,0.5692404541796285,-0.09131039079867591
f200_w0.75_k48-48_e38.4,72,0.2750132142676527,0.48605425628530635,0.8333582768388792,1.0160267838969375,47.70627648108548,1.2015400605318596,0.3502246249147965,91428.30719074691,0.5692422304422993,-0.09130767960518939
f100_w0.75_k48-48_e38.4,72,0.2750132142676527,0.48605466922531765,0.8333539179522469,1.0160267838969375,47.706317123715976,1.201544003919938,0.35022364674225986,91428.30479832293,0.5692429948460148,-0.09130926718865885
f400_w0.6_k48-48_e38.4,72,0.26450359491590714,0.4846044864700402,0.8280603578979763,1.021935072969919,47.28532192051381,1.2020893317763008,0.3487566656911964,90432.5151661412,0.5698495269988401,-0.09169890685268488
f300_w0.6_k48-48_e38.4,72,0.26451724212631866,0.4846047715438797,0.8280596017001562,1.0219344129398218,47.28538476354518,1.2020897036307896,0.3487572167480577,90433.80768587634,0.5698500669017021,-0.09169904428936063
f300_w0.45_k48-48_e38.4,72,0.26459683000569156,0.48078220850337594,0.8366320930988395,1.0252815055858475,46.67048025318089,1.2016754755550425,0.34913225120629127,87388.54054321877,0.5701504653795864,-0.09168795858142896
