config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f0_w0.25_k5-5_e4,72,0.2797803520141542,0.45887853944254076,1.12905662739502,1.0097711524672341,45.441014368190146,1.240757961745203,0.37884965631373946,439600.50817304256,0.6051752801391902,-0.09572679021646097
f0_w0.25_k5-15_e5,72,0.2797803520141542,0.45946485359783235,1.12905662739502,1.0097711524672341,45.499078430909606,1.240943367266187,0.37918711078267475,439689.03210081224,0.6057326038039054,-0.09560656410570768
f0_w0.25_k5-40_e5,72,0.2797803520141542,0.45946485359783235,1.12905662739502,1.0097711524672341,45.499078430909606,1.240943367266187,0.37918711078267475,439689.03210081224,0.6057326038039054,-0.09560656410570768
f0_w0.25_k8-24_e8,72,0.2973066895970228,0.46106260572975244,1.258233968557762,1.0465827762254722,43.738470877047845,1.229020538952655,0.38791744181460236,434642.8960225564,0.6231375691589645,-0.09405789821980474
f0_w0.25_k8-8_e6.4,72,0.2859831400075502,0.46386502862130147,1.2924806708998595,1.0618349778439313,43.363832926606186,1.2366658613536987,0.3876267597545294,431803.73712944816,0.6322450717740907,-0.09892535775838796
f400_w0.25_k5-5_e4,72,0.2861855331199437,0.4891487254857739,1.3666646808718321,1.037598952281067,47.05530668622313,1.2480833409996466,0.38964250707657044,450833.4131452978,0.6365399696081613,-0.08201298715939434
f400_w0.25_k5-15_e5,72,0.2861855331199437,0.4898580015039414,1.3666646808718321,1.037598952281067,47.12366412014386,1.2482991312739529,0.3900479148008483,450939.5474815891,0.6372027121085408,-0.0819012211802749
f400_w0.25_k5-40_e5,72,0.2861855331199437,0.4898580015039414,1.3666646808718321,1.037598952281067,47.12366412014386,1.2482991312739529,0.3900479148008483,450939.5474815891,0.6372027121085408,-0.0819012211802749
f400_w0.25_k8-8_e6.4,72,0.28796300590375357,0.47634789015391654,1.3051677830231903,1.0662055573413833,44.132790670465845,1.2372746306421862,0.38944095013731017,438094.2015718123,0.6382815367652452,-0.09008242662690255
f0_w0.1_k5-5_e4,72,0.27801670743622225,0.4755371109890917,1.284510387140001,1.0698743953729744,44.179797805421366,1.2056953685342566,0.40072110907554914,438409.2062757049,0.6384694655424273,-0.059984701326413196
f0_w0.1_k5-15_e5,72,0.2730260390691553,0.4759333994244846,1.284510387140001,1.0698743953729744,44.21683845590397,1.2059425297583881,0.40090406881067864,438460.87916813785,0.638847513775931,-0.06001130919378798
f0_w0.1_k5-40_e5,72,0.2730260390691553,0.4759333994244846,1.284510387140001,1.0698743953729744,44.21683845590397,1.2059425297583881,0.40090406881067864,438460.87916813785,0.638847513775931,-0.06001130919378798
f400_w0.25_k8-24_e8,72,0.30729203349703443,0.4751762071463726,1.2818696676217047,1.0699937523382492,43.89743631520433,1.2377177117388505,0.39016409888703507,439951.93543805217,0.6403686587677883,-0.08793691748690326
f0_w0.1_k8-8_e6.4,72,0.27794103311661666,0.4757056492634005,1.326254145934031,1.0830623050751718,43.51692361869143,1.2275560767001343,0.39331027198416385,435074.68416577444,0.6445114609068301,-0.08873241816598476
f800_w0.25_k5-5_e4,72,0.27691370745343813,0.49260853413193395,1.4656267851540117,1.0809861615247915,44.90913437875389,1.2535611449693786,0.38347844491534794,453554.1319417215,0.6476823577848245,-0.1065021749454735
f800_w0.25_k5-15_e5,72,0.27691370745343813,0.4934754358380171,1.4656267851540117,1.0809861615247915,44.98932982777429,1.2538160993147571,0.38395706058686757,453693.6971672477,0.6484631437651425,-0.10636569201658604
f800_w0.25_k5-40_e5,72,0.27691370745343813,0.4934754358380171,1.4656267851540117,1.0809861615247915,44.98932982777429,1.2538160993147571,0.38395706058686757,453693.6971672477,0.6484631437651425,-0.10636569201658604
f400_w0.1_k8-8_e6.4,72,0.2827641547436293,0.4880425563176596,1.3523551101849989,1.0791410527861114,44.8819951678618,1.2294417512526348,0.3954798592546114,441214.85787267424,0.6490476515712631,-0.08410120612331871
f0_w0.1_k8-24_e8,72,0.30460636532793006,0.48425143302123197,1.3051498160436055,1.0995332092614287,43.050896562569754,1.223049184419915,0.3988484923643352,433137.0691744324,0.6545921370835861,-0.08774746773433649
f0_w0.1_k16-16_e12.8,72,0.3431160323730902,0.488135295432589,1.158181185740314,1.082216477195814,44.70808951576953,1.2377237583060752,0.40308948412358436,424769.0536572389,0.6610023307463299,-0.08343576516592167
f400_w0.1_k5-5_e4,72,0.28974266224138756,0.4919503082302007,1.33510050499096,1.1235494527862782,43.34483931984879,1.2075083303633705,0.40788957524695185,444195.56893121393,0.6687775904306712,-0.05735198353556789
f400_w0.1_k5-40_e5,72,0.2872102055335663,0.49246028166032413,1.33510050499096,1.1235494527862782,43.39022881550994,1.2077893701894264,0.40813739345748845,444261.53130988445,0.6692552406360158,-0.057379693513395356
f400_w0.1_k5-15_e5,72,0.2872102055335663,0.49246028166032413,1.33510050499096,1.1235494527862782,43.39022881550994,1.2077893701894264,0.40813739345748845,444261.53130988445,0.6692552406360158,-0.057379693513395356
f400_w0.1_k12-36_e12,72,0.32554655349571404,0.509904827222821,1.3549609828725444,1.069542691565368,46.93176027122035,1.2433747341797303,0.4114362764555453,443612.6360915338,0.6712958815120661,-0.07457576876339825
f400_w0.1_k16-16_e12.8,72,0.3326221944843263,0.5006830226300027,1.268401139018139,1.0924614065657665,45.04728955844961,1.2405653775950323,0.4069516854299846,427538.37639836996,0.6715701827974102,-0.08717338798555552
f0_w0.45_k8-24_e8,72,0.3329908293501429,0.49406237956225524,1.3021907291019903,1.0750360740797449,45.431595155082746,1.273409567677163,0.4016623420479011,451310.7563961878,0.6722674401165335,-0.13754146920207452
f0_w0.1_k12-12_e9.6,72,0.3299223372648794,0.4954600076054556,1.3355938773217912,1.122619517603551,42.9629212831393,1.2290950875435374,0.4041254687111658,435325.0426124895,0.6725042753616799,-0.07397181606830333
