purpose_antes,config_antes,fold_antes,row_excel,date_antes,group_antes,tile_antes,bairro_antes,area_antes,actual_antes,predicted_antes,k_antes,effective_antes,floor_antes,n_train_antes,discount_antes,error_antes,purpose_depois,config_depois,fold_depois,date_depois,group_depois,tile_depois,bairro_depois,area_depois,actual_depois,predicted_depois,k_depois,effective_depois,floor_depois,n_train_depois,discount_depois,error_depois
TERRENO,baseline,teste_reservado,163927,2026-08-27,1930036,-3337|-4929,santa m goretti,467.0,650000.0,1435193.4105695393,12,11.92749999461452,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-27,1930036,-3337|-4929,santa m goretti,467.0,650000.0,1435193.4105695393,12,11.92749999461452,200.0,97,0.0,
TERRENO,baseline,teste_reservado,164305,2026-08-27,100106520,-3341|-4921,mario quintana,19948.88,88000.0,28903883.92699446,12,11.987091655595687,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-27,100106520,-3341|-4921,mario quintana,204.88,88000.0,425640.7153472347,12,11.98282775677221,200.0,97,0.0,
TERRENO,baseline,teste_reservado,163932,2026-08-28,11189517,-3355|-4930,hipica,191.0,250000.0,299114.41460435017,12,11.98179903298345,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-28,11189517,-3355|-4930,hipica,191.0,250000.0,299114.41460435017,12,11.98179903298345,200.0,97,0.0,
TERRENO,baseline,teste_reservado,163955,2026-08-28,10548343,-3348|-4932,vila nova,13913.8,200000.0,24278131.266670723,12,11.96949623525005,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-28,10548343,-3348|-4932,vila nova,276.0,200000.0,572936.8039922662,12,11.979920802073742,200.0,97,0.0,
TERRENO,baseline,teste_reservado,164842,2026-08-28,100056290,-3351|-4930,vila nova,865201.8,324000.0,1262214785.2762432,12,11.999996195621437,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-28,100056290,-3351|-4930,vila nova,1419.04,324000.0,2977863.2230986264,12,11.999792592776764,200.0,97,0.0,
TERRENO,baseline,teste_reservado,164845,2026-08-28,100055656,-3351|-4930,vila nova,865201.8,225314.77,1262214785.2762432,12,11.999996195621437,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-28,100055656,-3351|-4930,vila nova,502.19,225314.77,1053858.4727668294,12,11.999795260700056,200.0,97,0.0,
TERRENO,baseline,teste_reservado,164385,2026-08-31,2034581,-3337|-4927,jardim floresta,1124.0,825000.0,2616106.307606069,12,11.955776210510638,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-31,2034581,-3337|-4927,jardim floresta,1124.0,825000.0,2616106.307606069,12,11.955776210510638,200.0,97,0.0,
TERRENO,baseline,teste_reservado,164568,2026-09-01,100128269,-3340|-4922,mario quintana,158.8,22560.55,172814.3138087639,12,11.97487798434162,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-01,100128269,-3340|-4922,mario quintana,158.8,22560.55,172814.3138087639,12,11.97487798434162,200.0,97,0.0,
TERRENO,baseline,teste_reservado,164684,2026-09-01,5509114,-3334|-4931,farrapos,7000.0,6884850.0,14068084.132267954,12,11.771239519925444,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-01,5509114,-3334|-4931,farrapos,7000.0,6884850.0,14068084.132267954,12,11.771239519925444,200.0,97,0.0,
TERRENO,baseline,teste_reservado,164686,2026-09-01,5509130,-3334|-4931,farrapos,3000.0,2950650.0,3970553.675112232,12,11.94406328933339,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-01,5509130,-3334|-4931,farrapos,3000.0,2950650.0,3970553.675112232,12,11.94406328933339,200.0,97,0.0,
