_row_excel,siat_finalidade_descricao,siat_area_terreno,crawler_area_terreno,__area_total_lote_efetiva,__regra_area_lote
49770,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,139122.0,330.0,330.0,área da unidade negociada em condomínio
50205,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,217.89,217.89,área da unidade negociada em condomínio
50880,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,708.97,708.97,área da unidade negociada em condomínio
51204,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,21400.0,30690.0,30690.0,área da unidade negociada em condomínio
51563,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,220.8,220.8,área da unidade negociada em condomínio
51593,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,122.38,122.38,área da unidade negociada em condomínio
51803,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
52128,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,21400.0,30690.0,30690.0,área da unidade negociada em condomínio
52242,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,8601.11,177.07,177.07,área da unidade negociada em condomínio
52856,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,588.87,588.87,área da unidade negociada em condomínio
52953,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,96.6,96.6,área da unidade negociada em condomínio
54598,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1576.85,1576.85,área da unidade negociada em condomínio
54736,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,265.51,265.51,área da unidade negociada em condomínio
55056,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,265.51,265.51,área da unidade negociada em condomínio
55921,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,1678.98,1678.98,área da unidade negociada em condomínio
56040,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,5643.0,292.4,292.4,área da unidade negociada em condomínio
56504,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,5643.0,292.4,292.4,área da unidade negociada em condomínio
57562,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,484.91,484.91,área da unidade negociada em condomínio
58090,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.53,105.53,área da unidade negociada em condomínio
58091,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.33,105.33,área da unidade negociada em condomínio
58093,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.53,105.53,área da unidade negociada em condomínio
58095,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.53,105.53,área da unidade negociada em condomínio
58516,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,925.7,925.7,área da unidade negociada em condomínio
58753,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,492.35,492.35,área da unidade negociada em condomínio
58942,TERRENOS CONDOMINIO HORIZ ABERTO SEM AREA USO COMUM,5760.0,28660.0,28660.0,área da unidade negociada em condomínio
59048,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,148.65,148.65,área da unidade negociada em condomínio
59049,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,148.82,148.82,área da unidade negociada em condomínio
59136,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.38,232.38,área da unidade negociada em condomínio
59305,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
59588,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,2266.98,2266.98,área da unidade negociada em condomínio
59927,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,704.08,704.08,área da unidade negociada em condomínio
60850,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,2410.93,2410.93,área da unidade negociada em condomínio
61013,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,466.15,466.15,área da unidade negociada em condomínio
