finalidade,n,k_mediano,vizinhos_efetivos_medianos,casos_abaixo_meta_efetiva,falhas
APARTAMENTO,350,32.0,25.544513652923825,176,0
CASA / RESIDÊNCIA,196,5.0,5.0,0,0
COBERTURA,75,16.0,15.764345381795296,7,0
GARAGEM / VAGA NÃO RESIDENCIAL,80,48.0,33.19679148832189,46,0
GARAGEM / VAGA RESIDENCIAL,350,7.0,6.459968740189413,18,0
LOJA,34,8.0,7.931681160302941,7,0
SALA COMERCIAL,228,32.0,24.363879333480497,124,0
TERRENO,77,8.0,7.961428159943003,0,0
