purpose,config,fold,row_excel,date,group,tile,bairro,area,actual,predicted,k,effective,floor,n_train,discount,error,razao,erro_percentual_absoluto
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,160273,2026-08-06,9285040,-3343|-4934,menino deus,10.58,5000.0,23120.117886002165,7,5.662577079381272,150.0,2612,0.2,,4.6240235772004326,3.6240235772004326
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,164199,2026-08-31,10748881,-3340|-4929,petropolis,10.58,15000.0,68989.70003636551,7,6.943782865202265,150.0,2612,0.2,,4.5993133357577,3.5993133357577003
COBERTURA,baseline,teste_reservado,166754,2026-09-15,8824398,-3340|-4929,petropolis,295.04,400000.0,1814835.7889862184,12,11.97755421584738,900.0,1688,0.2,,4.537089472465546,3.5370894724655457
CASA / RESIDÊNCIA,baseline,teste_reservado,162788,2026-08-21,887471,-3337|-4931,sao geraldo,149.0,260000.0,1169259.6487536114,5,5.0,800.0,16815,0.1487989829969808,,4.497152495206198,3.4971524952061976
SALA COMERCIAL,baseline,teste_reservado,165500,2026-09-08,10749217,-3340|-4929,petropolis,46.11,80000.0,356043.9948781226,20,10.74152355033796,900.0,7886,0.2,,4.450549935976532,3.4505499359765324
TERRENO,baseline,teste_reservado,166834,2026-09-17,100131331,-3347|-4924,lomba pinheiro,220.59,60000.0,259059.09684133544,12,11.938112830290844,200.0,97,0.0,,4.317651614022258,3.3176516140222576
TERRENO,baseline,teste_reservado,167339,2026-09-22,11000406,-3356|-4929,ponta grossa,150.0,60000.0,256249.69490300468,12,11.946335591775618,200.0,97,0.0,,4.2708282483834115,3.2708282483834115
SALA COMERCIAL,baseline,teste_reservado,161491,2026-08-07,8576386,-3341|-4934,menino deus,29.57,27807.5,116869.8135963973,16,15.897802019795447,900.0,7886,0.2,,4.202816276054924,3.202816276054924
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,165775,2026-09-10,100071695,-3348|-4934,cavalhada,10.58,7692.5,32000.00000928709,7,6.000000013930624,200.0,17117,0.0374643698062107,,4.159896003807226,3.1598960038072264
CASA / RESIDÊNCIA,baseline,teste_reservado,161774,2026-08-14,2206234,-3351|-4935,jardim isabel,252.0,234600.0,945352.8462120938,5,5.0,800.0,16815,0.1487989829969808,,4.029637025626998,3.0296370256269984
CASA / RESIDÊNCIA,baseline,teste_reservado,166080,2026-09-11,2156016,-3341|-4929,petropolis,131.0,233333.33,939543.5549844474,5,5.0,800.0,16815,0.1487989829969808,,4.026615293170708,3.0266152931707078
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,167016,2026-09-17,5282357,-3342|-4933,menino deus,12.0,10000.0,40000.0,7,6.702756436484713,200.0,17117,0.0374643698062107,,4.0,3.0
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,164443,2026-09-01,2875454,-3339|-4931,moinhos vento,14.4,16000.0,63780.933204131936,7,5.778510303116033,200.0,17117,0.0374643698062107,,3.986308325258246,2.986308325258246
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,159333,2026-08-03,8620474,-3340|-4934,centro historic,31.0,10000.0,39399.8482713998,7,6.957690462147799,150.0,2612,0.2,,3.93998482713998,2.93998482713998
SALA COMERCIAL,baseline,teste_reservado,162208,2026-08-19,8761981,-3339|-4932,moinhos vento,66.87,90000.0,354184.53227863385,17,15.565514260640049,900.0,7886,0.2,,3.9353836919848204,2.9353836919848204
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,160992,2026-08-12,10492305,-3340|-4933,centro historic,13.88,10000.0,39262.15920866698,7,5.825242718446603,150.0,2612,0.2,,3.9262159208666976,2.9262159208666976
TERRENO,baseline,teste_reservado,163172,2026-08-20,100055886,-3351|-4930,vila nova,540.8,296000.0,1134882.0816693832,12,11.999795147839183,200.0,97,0.0,,3.8340610867208893,2.8340610867208893
TERRENO,baseline,teste_reservado,161922,2026-08-17,100106506,-3341|-4921,mario quintana,216.51,120000.0,449789.0013413828,12,11.982756823614125,200.0,97,0.0,,3.748241677844857,2.748241677844857
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161929,2026-08-18,10360344,-3338|-4926,vila ipiranga,10.58,10000.0,37000.0,7,5.825242718446604,200.0,17117,0.0374643698062107,,3.7,2.7
TERRENO,baseline,teste_reservado,161079,2026-08-08,1617095,-3338|-4932,floresta,296.0,420000.0,1546846.1092064674,12,11.97534039117906,200.0,97,0.0,,3.6829669266820653,2.6829669266820653
TERRENO,baseline,teste_reservado,166319,2026-09-14,6044565,-3339|-4922,mario quintana,300.0,94000.0,344162.3691856301,12,11.83241506851573,200.0,97,0.0,,3.661301799847129,2.661301799847129
SALA COMERCIAL,baseline,teste_reservado,166308,2026-09-14,100011708,-3341|-4934,cidade baixa,28.97,40000.0,145962.26447111607,20,5.838610553721199,900.0,7886,0.2,,3.6490566117779015,2.6490566117779015
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,162212,2026-08-19,8761515,-3339|-4932,moinhos vento,11.04,10000.0,36070.709263411874,7,5.255096148608177,150.0,2612,0.2,,3.6070709263411875,2.6070709263411875
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,163186,2026-08-25,6584373,-3340|-4927,vila jardim,12.0,11250.0,40044.00000000001,7,6.999999999999997,200.0,17117,0.0374643698062107,,3.5594666666666672,2.5594666666666672
