purpose,config,fold,row_excel,date,group,tile,bairro,area,actual,predicted,k,effective,floor,n_train,discount,error,razao,erro_percentual_absoluto
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,159337,2026-08-03,9007164,-3340|-4932,bom fim,20.0,30000.0,55004.367049081055,7,6.948994367674939,150.0,2612,0.2,,1.833478901636035,0.8334789016360351
TERRENO,baseline,teste_reservado,163258,2026-08-25,100113772,-3355|-4931,aberta dos morr,154.0,174488.0,319832.9996333028,12,11.980579629395942,200.0,97,0.0,,1.832979916288242,0.8329799162882421
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,166036,2026-09-10,10209336,-3339|-4931,moinhos vento,10.58,20000.0,36611.79149181635,7,6.992353379341144,150.0,2612,0.2,,1.8305895745908176,0.8305895745908176
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166926,2026-09-16,10834346,-3338|-4930,auxiliadora,15.17,21550.0,39434.54099959796,7,6.499645740461779,200.0,17117,0.0374643698062107,,1.8299090951089538,0.8299090951089538
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,167454,2026-09-21,100019895,-3347|-4935,camaqua,10.58,15000.0,27383.15221996951,7,6.033801730796119,200.0,17117,0.0374643698062107,,1.8255434813313007,0.8255434813313007
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161063,2026-08-11,100063581,-3341|-4931,santana,10.58,22000.0,40144.43809983724,7,6.997857399106296,200.0,17117,0.0374643698062107,,1.8247471863562383,0.8247471863562383
SALA COMERCIAL,baseline,teste_reservado,165491,2026-09-04,10966080,-3343|-4933,menino deus,30.04,90000.0,164107.5958839023,17,15.024167853535948,900.0,7886,0.2,,1.8234177320433589,0.8234177320433589
SALA COMERCIAL,baseline,teste_reservado,166524,2026-09-14,100110204,-3347|-4935,cristal,99.45,452822.91,824572.7428949313,16,15.867495556751573,900.0,7886,0.2,,1.8209607435607253,0.8209607435607253
SALA COMERCIAL,baseline,teste_reservado,161956,2026-08-14,9176136,-3338|-4928,passo da areia,22.1,40000.0,72465.49054476213,20,15.320525943773264,900.0,7886,0.2,,1.8116372636190532,0.8116372636190532
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,160008,2026-08-06,8941238,-3341|-4927,bom jesus,170.57,395000.0,711873.7107476275,7,5.63717335782657,200.0,17117,0.0374643698062107,,1.8022119259433609,0.8022119259433609
SALA COMERCIAL,baseline,teste_reservado,165442,2026-09-08,5272386,-3339|-4933,centro historic,112.08,117000.0,210176.4082503006,16,15.779019143065216,900.0,7886,0.2,,1.796379557694877,0.7963795576948769
CASA / RESIDÊNCIA,baseline,teste_reservado,166928,2026-09-16,9243925,-3354|-4928,hipica,105.0,136000.0,243236.7303039648,5,5.0,800.0,16815,0.1487989829969808,,1.7885053698820943,0.7885053698820943
CASA / RESIDÊNCIA,baseline,teste_reservado,160158,2026-08-06,1757180,-3339|-4926,vila ipiranga,411.28,1100000.0,1966282.6286056084,5,5.0,800.0,16815,0.1487989829969808,,1.787529662368735,0.7875296623687349
SALA COMERCIAL,baseline,teste_reservado,163288,2026-08-25,100036225,-3340|-4934,centro historic,53.78,225000.0,401863.3450827326,20,9.786593530106511,900.0,7886,0.2,,1.7860593114788117,0.7860593114788117
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166156,2026-09-11,100122685,-3344|-4928,vila sao jose,14.3,20000.0,35635.43813513864,7,6.406459726229935,200.0,17117,0.0374643698062107,,1.781771906756932,0.781771906756932
CASA / RESIDÊNCIA,baseline,teste_reservado,163051,2026-08-24,1471600,-3337|-4927,jardim floresta,112.0,230000.0,409521.685570302,5,5.0,800.0,16815,0.1487989829969808,,1.7805290676969652,0.7805290676969652
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,164608,2026-09-02,9023887,-3336|-4926,jardim lindoia,10.58,20000.0,35608.804873289075,7,5.607516938241533,200.0,17117,0.0374643698062107,,1.7804402436644537,0.7804402436644537
SALA COMERCIAL,baseline,teste_reservado,167182,2026-09-16,8486905,-3339|-4932,moinhos vento,45.56,125000.0,222487.96313519997,20,10.789323689558412,900.0,7886,0.2,,1.7799037050815998,0.7799037050815998
APARTAMENTO,baseline,teste_reservado,165414,2026-09-08,100088642,-3342|-4934,praia de belas,49.44,387336.81,685214.1870031724,12,11.24788927886107,1200.0,96700,0.2,,1.7690396815194827,0.7690396815194827
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161517,2026-08-13,100113028,-3341|-4930,petropolis,12.42,24994.09,44165.62582530501,11,5.0560386994283615,200.0,17117,0.0374643698062107,,1.7670427619211186,0.7670427619211186
APARTAMENTO,baseline,teste_reservado,163499,2026-08-25,5465753,-3342|-4930,jardim botanico,69.16,129401.83,228465.73190768345,12,11.976254121577837,1200.0,96700,0.2,,1.7655525575463922,0.7655525575463922
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,162476,2026-08-20,11394137,-3342|-4930,petropolis,16.68,30000.0,52849.7058235822,7,5.793028524152462,200.0,17117,0.0374643698062107,,1.7616568607860732,0.7616568607860732
LOJA,baseline,teste_reservado,165668,2026-09-09,6434991,-3340|-4926,jardim sabara,52.34,120000.0,211329.93584396,12,11.797868449204474,700.0,1774,0.2,,1.7610827986996667,0.7610827986996667
SALA COMERCIAL,baseline,teste_reservado,159908,2026-08-05,100117524,-3340|-4931,rio branco,119.43,2272863.22,543465.0548362788,16,15.553522291359489,900.0,7886,0.2,,0.2391103213136947,0.7608896786863053
SALA COMERCIAL,baseline,teste_reservado,163417,2026-08-26,8076111,-3339|-4934,centro historic,52.0,85000.0,149565.7488964473,17,15.925011653775748,900.0,7886,0.2,,1.7595970458405565,0.7595970458405565
CASA / RESIDÊNCIA,baseline,teste_reservado,161358,2026-08-11,9858903,-3354|-4926,restinga,102.0,110000.0,192808.12772133527,5,5.0,800.0,16815,0.1487989829969808,,1.7528011611030478,0.7528011611030478
APARTAMENTO,baseline,teste_reservado,165617,2026-09-09,100125207,-3350|-4933,vila nova,10.58,200000.0,50464.50908894675,12,11.966012299089844,1200.0,96700,0.2,,0.25232254544473376,0.7476774545552662
CASA / RESIDÊNCIA,baseline,teste_reservado,165897,2026-09-09,1866605,-3344|-4928,vila sao jose,113.0,130000.0,226984.5978879909,5,5.0,800.0,16815,0.1487989829969808,,1.7460353683691607,0.7460353683691607
TERRENO,baseline,teste_reservado,161895,2026-08-13,11181184,-3354|-4930,hipica,409.0,220000.0,381426.5650580011,12,11.986895406215282,200.0,97,0.0,,1.733757113900005,0.733757113900005
TERRENO,baseline,teste_reservado,167162,2026-09-18,5443091,-3337|-4922,parque sta fe,358.0,250000.0,433327.1759788194,12,11.73294145663163,200.0,97,0.0,,1.7333087039152775,0.7333087039152775
CASA / RESIDÊNCIA,baseline,teste_reservado,166894,2026-09-17,8792526,-3354|-4931,aberta dos morr,132.0,200000.0,346215.3945967648,5,5.0,800.0,16815,0.1487989829969808,,1.731076972983824,0.731076972983824
COBERTURA,baseline,teste_reservado,161221,2026-08-12,7032609,-3341|-4932,santana,578.52,1700000.0,2939115.537600436,12,11.886719412690482,900.0,1688,0.2,,1.7288914927061387,0.7288914927061387
SALA COMERCIAL,baseline,teste_reservado,160785,2026-08-11,100115650,-3339|-4932,moinhos vento,54.83,156592.12,269292.7574542998,20,10.842821641676291,900.0,7886,0.2,,1.7197082295986528,0.7197082295986528
LOJA,baseline,teste_reservado,164996,2026-09-03,2145537,-3339|-4931,moinhos vento,50.0,121800.0,209417.7441345414,12,11.988017214424156,700.0,1774,0.2,,1.7193575052096994,0.7193575052096994
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,160331,2026-08-06,10424598,-3343|-4933,medianeira,110.91,470000.0,804553.222646316,7,6.909689136126204,200.0,17117,0.0374643698062107,,1.7118153673325873,0.7118153673325873
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,164533,2026-09-02,7079222,-3340|-4930,bela vista,437.74,1490000.0,2549229.5457425644,7,6.54130525594049,200.0,17117,0.0374643698062107,,1.7108923125789022,0.7108923125789022
CASA / RESIDÊNCIA,baseline,teste_reservado,160540,2026-08-10,401056,-3339|-4926,vila ipiranga,10.0,200000.0,58397.44441059356,5,5.0,800.0,16815,0.1487989829969808,,0.2919872220529678,0.7080127779470322
SALA COMERCIAL,baseline,teste_reservado,167063,2026-09-18,2287803,-3339|-4934,centro historic,54.27,90000.0,153253.4431208854,19,15.077510288568192,900.0,7886,0.2,,1.7028160346765044,0.7028160346765044
APARTAMENTO,baseline,teste_reservado,161587,2026-08-13,10324178,-3335|-4923,sarandi,47.81,90000.0,153041.47526193844,25,7.8854852062492515,1200.0,96700,0.2,,1.7004608362437603,0.7004608362437603
COBERTURA,baseline,teste_reservado,159475,2026-08-03,2591618,-3339|-4931,moinhos vento,187.49,2350000.0,707191.5966007598,12,11.782739092716472,900.0,1688,0.2,,0.30093259429819563,0.6990674057018044
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,163077,2026-08-25,9338055,-3339|-4930,auxiliadora,12.62,50000.0,15063.564607291835,7,6.00230061532848,150.0,2612,0.2,,0.3012712921458367,0.6987287078541633
COBERTURA,baseline,teste_reservado,159775,2026-08-03,6000029,-3340|-4933,bom fim,114.64,290000.0,492151.5446083064,12,11.909527419455252,900.0,1688,0.2,,1.6970742917527806,0.6970742917527806
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,163449,2026-08-26,100098018,-3350|-4933,cavalhada,10.58,15000.0,25430.126643507545,7,6.994951056808532,200.0,17117,0.0374643698062107,,1.6953417762338363,0.6953417762338363
APARTAMENTO,baseline,teste_reservado,165163,2026-09-04,5302919,-3339|-4930,mont serrat,43.48,800000.0,244510.5840600092,12,11.983212635419926,1200.0,96700,0.2,,0.3056382300750115,0.6943617699249884
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,164913,2026-09-03,8361959,-3340|-4934,centro historic,23.43,20000.0,33855.24201869455,7,6.625198359949563,150.0,2612,0.2,,1.6927621009347276,0.6927621009347276
TERRENO,baseline,teste_reservado,166939,2026-09-17,9955712,-3337|-4922,parque sta fe,415.0,300000.0,507674.8731279526,12,11.796257640262588,200.0,97,0.0,,1.6922495770931754,0.6922495770931754
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166847,2026-09-17,8485984,-3339|-4930,mont serrat,12.36,150000.0,46757.87967940329,7,6.999989308033658,200.0,17117,0.0374643698062107,,0.3117191978626886,0.6882808021373115
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161725,2026-08-14,9353895,-3338|-4931,floresta,161.5,640000.0,1080236.566314508,7,6.8399624603684375,200.0,17117,0.0374643698062107,,1.6878696348664186,0.6878696348664186
APARTAMENTO,baseline,teste_reservado,163448,2026-08-26,100097945,-3350|-4933,cavalhada,89.31,360408.0,606878.5526403763,12,11.020040635360514,1200.0,96700,0.2,,1.683865376574261,0.683865376574261
COBERTURA,baseline,teste_reservado,160218,2026-08-06,5833426,-3339|-4931,moinhos vento,135.32,1450000.0,460176.8989177066,12,11.932455216268872,900.0,1688,0.2,,0.3173633785639356,0.6826366214360644
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,159586,2026-08-04,100008810,-3335|-4930,humaita,77.88,190000.0,319687.33883201965,7,5.750299028476936,200.0,17117,0.0374643698062107,,1.682564941221156,0.6825649412211561
CASA / RESIDÊNCIA,baseline,teste_reservado,160960,2026-08-11,2956934,-3353|-4925,restinga,30.0,110000.0,184492.454,5,5.0,800.0,16815,0.1487989829969808,,1.6772041272727272,0.6772041272727272
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,159981,2026-08-05,100131373,-3337|-4925,sao sebastiao,10.58,30000.0,9999.999999999998,7,7.0,150.0,2612,0.2,,0.33333333333333326,0.6666666666666667
APARTAMENTO,baseline,teste_reservado,161472,2026-08-14,5720389,-3341|-4926,jardim sabara,49.43,100000.0,166345.22785924785,25,9.077523206900295,1200.0,96700,0.2,,1.6634522785924786,0.6634522785924786
CASA / RESIDÊNCIA,baseline,teste_reservado,167003,2026-09-17,2108399,-3342|-4931,santana,254.46,2282500.0,773847.9607468974,5,5.0,800.0,16815,0.1487989829969808,,0.3390352511486955,0.6609647488513045
CASA / RESIDÊNCIA,baseline,teste_reservado,162461,2026-08-20,619833,-3346|-4932,nonoai,63.0,150000.0,248981.59827220315,5,5.0,800.0,16815,0.1487989829969808,,1.6598773218146876,0.6598773218146876
APARTAMENTO,baseline,teste_reservado,161559,2026-08-14,10930698,-3343|-4927,partenon,39.34,81386.62,134725.99527788447,25,8.481096050031903,1200.0,96700,0.2,,1.6553826080734706,0.6553826080734706
APARTAMENTO,baseline,teste_reservado,164880,2026-09-01,714216,-3340|-4933,centro historic,278.07,650000.0,1074085.9826884456,12,11.902718154420766,1200.0,96700,0.2,,1.6524399733668393,0.6524399733668393
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166776,2026-09-16,8768927,-3339|-4931,moinhos vento,12.0,29000.0,47642.07122026912,7,6.868888268602512,200.0,17117,0.0374643698062107,,1.6428300420782456,0.6428300420782456
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166265,2026-09-14,9097805,-3346|-4933,nonoai,142.91,360000.0,591370.7759282376,7,5.995872279692175,200.0,17117,0.0374643698062107,,1.64269659980066,0.64269659980066
APARTAMENTO,baseline,teste_reservado,163429,2026-08-25,714267,-3340|-4933,centro historic,207.15,700000.0,1149847.2916666667,12,11.999999999999998,1200.0,96700,0.2,,1.6426389880952381,0.6426389880952381
SALA COMERCIAL,baseline,teste_reservado,161101,2026-08-07,8348243,-3341|-4932,santana,58.3,130000.0,212682.88138376456,16,15.834709606266548,900.0,7886,0.2,,1.6360221644904966,0.6360221644904966
SALA COMERCIAL,baseline,teste_reservado,167325,2026-09-21,6644961,-3341|-4929,petropolis,31.9,80000.0,130233.54500684114,20,9.862471139735172,900.0,7886,0.2,,1.6279193125855143,0.6279193125855143
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,162488,2026-08-20,5362369,-3342|-4934,menino deus,15.92,30000.0,48616.526280690974,7,6.610644689772738,200.0,17117,0.0374643698062107,,1.6205508760230325,0.6205508760230325
CASA / RESIDÊNCIA,baseline,teste_reservado,160706,2026-08-10,1145266,-3348|-4936,vila assuncao,252.0,675000.0,1093448.388835331,5,5.0,800.0,16815,0.1487989829969808,,1.619923539015305,0.6199235390153051
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,159848,2026-08-05,9225099,-3343|-4933,menino deus,15.65,40000.0,64678.88630458732,7,5.776361576644443,200.0,17117,0.0374643698062107,,1.6169721576146832,0.6169721576146832
SALA COMERCIAL,baseline,teste_reservado,166013,2026-09-10,1045539,-3340|-4934,centro historic,113.0,850000.0,325798.0122360749,16,15.852942611494289,900.0,7886,0.2,,0.3832917791012646,0.6167082208987353
SALA COMERCIAL,baseline,teste_reservado,163416,2026-08-26,8076146,-3339|-4934,centro historic,54.91,85000.0,137367.24252871244,19,15.239874454386168,900.0,7886,0.2,,1.6160852062201463,0.6160852062201463
TERRENO,baseline,teste_reservado,166981,2026-09-17,1403834,-3342|-4933,azenha,337.08,727863.0,1174238.6987543593,12,11.93085703356002,200.0,97,0.0,,1.613268841463791,0.613268841463791
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,159806,2026-08-05,100117589,-3340|-4931,rio branco,28.58,131518.75,50954.84514026221,7,6.917546908538665,150.0,2612,0.2,,0.38743407415491865,0.6125659258450813
CASA / RESIDÊNCIA,baseline,teste_reservado,163335,2026-08-25,11124377,-3340|-4924,passo pedras,290.27,580000.0,933897.0712870863,5,5.0,800.0,16815,0.1487989829969808,,1.6101673642880798,0.6101673642880798
SALA COMERCIAL,baseline,teste_reservado,166642,2026-09-16,6591000,-3342|-4932,azenha,25.53,50000.0,80338.8993978858,20,8.66581484424069,900.0,7886,0.2,,1.6067779879577162,0.6067779879577162
SALA COMERCIAL,baseline,teste_reservado,161100,2026-08-07,8348235,-3341|-4932,santana,57.16,130000.0,208664.3907481798,16,15.810223144699794,900.0,7886,0.2,,1.6051106980629215,0.6051106980629215
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,161860,2026-08-17,100035163,-3339|-4929,boa vista,10.58,80000.0,31844.487810080296,7,6.775006779451857,150.0,2612,0.2,,0.3980560976260037,0.6019439023739963
SALA COMERCIAL,baseline,teste_reservado,161481,2026-08-14,5218284,-3340|-4934,centro historic,171.05,1280000.0,511095.6925810546,20,10.637180652974736,900.0,7886,0.2,,0.3992935098289489,0.600706490171051
SALA COMERCIAL,baseline,teste_reservado,166203,2026-09-11,100103409,-3341|-4928,petropolis,37.2,208861.0,334266.014289058,16,15.824630930898447,900.0,7886,0.2,,1.6004233164116708,0.6004233164116708
SALA COMERCIAL,baseline,teste_reservado,161329,2026-08-13,6158498,-3339|-4933,centro historic,46.13,60000.0,95997.91579996228,20,13.789918469755902,900.0,7886,0.2,,1.5999652633327048,0.5999652633327048
APARTAMENTO,baseline,teste_reservado,166770,2026-09-17,1186515,-3341|-4932,santana,73.38,175000.01,279971.0203431857,14,11.111930573075549,1200.0,96700,0.2,,1.5998343105419575,0.5998343105419575
COBERTURA,baseline,teste_reservado,164398,2026-09-01,8214794,-3341|-4928,bom jesus,415.58,1350000.0,2150235.182291565,12,11.959745020367002,900.0,1688,0.2,,1.5927668016974557,0.5927668016974557
APARTAMENTO,baseline,teste_reservado,166388,2026-09-11,100073655,-3347|-4935,cristal,40.12,191260.74,304598.86041472,25,3.692260031367747,1200.0,96700,0.2,,1.5925843454057536,0.5925843454057536
CASA / RESIDÊNCIA,baseline,teste_reservado,159345,2026-08-03,1314149,-3338|-4929,passo da areia,78.0,163152.46,259639.7878066884,5,5.0,800.0,16815,0.1487989829969808,,1.59139364375314,0.59139364375314
SALA COMERCIAL,baseline,teste_reservado,166158,2026-09-11,11603593,-3343|-4931,santo antonio,35.49,82865.0,131854.13782342643,17,15.62364195092751,900.0,7886,0.2,,1.591192153785391,0.591192153785391
LOJA,baseline,teste_reservado,164855,2026-09-01,9448810,-3349|-4936,tristeza,52.3,200000.0,318043.60617756774,19,11.074468001547745,700.0,1774,0.2,,1.5902180308878386,0.5902180308878386
CASA / RESIDÊNCIA,baseline,teste_reservado,162351,2026-08-19,2703637,-3336|-4925,sarandi,67.0,600000.0,246030.39661489785,5,5.0,800.0,16815,0.1487989829969808,,0.41005066102482973,0.5899493389751702
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,167295,2026-09-21,11074515,-3339|-4927,jardim europa,21.16,50000.0,79323.79256960953,7,6.305304692442309,200.0,17117,0.0374643698062107,,1.5864758513921906,0.5864758513921906
SALA COMERCIAL,baseline,teste_reservado,162769,2026-08-20,5639867,-3338|-4931,floresta,28.87,50000.0,79132.14885942695,20,7.286798310521675,900.0,7886,0.2,,1.5826429771885389,0.5826429771885389
APARTAMENTO,baseline,teste_reservado,161009,2026-08-12,3497895,-3340|-4932,independencia,40.95,180000.0,284790.7267987883,13,11.536693945630184,1200.0,96700,0.2,,1.5821707044377127,0.5821707044377127
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166098,2026-09-11,10393420,-3340|-4929,tres figueiras,10.58,100000.0,41806.42247347273,7,6.971502515371737,200.0,17117,0.0374643698062107,,0.4180642247347273,0.5819357752652727
SALA COMERCIAL,baseline,teste_reservado,166937,2026-09-16,8054991,-3338|-4930,higienopolis,43.75,134750.0,212860.3729124322,20,9.758287689671794,900.0,7886,0.2,,1.579668815676677,0.5796688156766769
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,164480,2026-09-02,8747466,-3340|-4930,bela vista,12.0,60000.0,25238.902986986446,30,3.6983662511985296,200.0,17117,0.0374643698062107,,0.42064838311644076,0.5793516168835593
LOJA,baseline,teste_reservado,165676,2026-09-09,8465797,-3339|-4926,vila ipiranga,661.0,1500000.0,2367429.1779450304,12,11.837995059878171,700.0,1774,0.2,,1.5782861186300203,0.5782861186300203
TERRENO,baseline,teste_reservado,161710,2026-08-13,2867788,-3350|-4936,setimo ceu,190.2,215237.6,339639.28416636446,12,11.73537808210578,200.0,97,0.0,,1.5779737562877696,0.5779737562877696
CASA / RESIDÊNCIA,baseline,teste_reservado,165706,2026-09-09,545856,-3338|-4932,floresta,172.11,323500.0,510408.4031088266,5,5.0,800.0,16815,0.1487989829969808,,1.577769406827903,0.5777694068279029
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161425,2026-08-14,100042887,-3342|-4925,morro santana,10.58,50000.0,21234.196911333336,7,5.825242718446604,200.0,17117,0.0374643698062107,,0.4246839382266667,0.5753160617733333
CASA / RESIDÊNCIA,baseline,teste_reservado,166042,2026-09-03,3080935,-3349|-4935,tristeza,33.0,180000.0,283428.0,5,5.0,800.0,16815,0.1487989829969808,,1.5746,0.5746
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,166643,2026-09-16,10585036,-3341|-4929,petropolis,19.37,30000.0,47157.96810034711,7,6.9630643817061175,150.0,2612,0.2,,1.5719322700115703,0.5719322700115703
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166699,2026-09-16,8398887,-3336|-4927,jardim lindoia,19.63,30000.0,47038.909635183736,7,6.311151611436333,200.0,17117,0.0374643698062107,,1.5679636545061246,0.5679636545061246
COBERTURA,baseline,teste_reservado,161035,2026-08-12,8103097,-3342|-4928,jardim do salso,117.64,320000.0,501118.5566397964,14,11.656834074203283,900.0,1688,0.2,,1.5659954894993637,0.5659954894993637
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,165201,2026-09-04,7070845,-3337|-4927,cristo redentor,142.14,350000.0,548093.8872923317,7,6.866930843562343,200.0,17117,0.0374643698062107,,1.5659825351209475,0.5659825351209475
SALA COMERCIAL,baseline,teste_reservado,161443,2026-08-04,8034621,-3340|-4933,cidade baixa,68.11,100000.0,156207.90932678222,20,8.975517030651423,900.0,7886,0.2,,1.5620790932678221,0.5620790932678221
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166688,2026-09-15,10670084,-3337|-4926,sao sebastiao,10.58,50000.0,21900.162184196484,7,5.369853249872181,200.0,17117,0.0374643698062107,,0.4380032436839297,0.5619967563160704
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,164325,2026-09-01,100130724,-3337|-4925,sao sebastiao,10.58,50000.0,22157.38728238259,7,6.932057212833416,200.0,17117,0.0374643698062107,,0.4431477456476518,0.5568522543523482
SALA COMERCIAL,baseline,teste_reservado,159457,2026-08-01,10132872,-3337|-4931,sao geraldo,29.56,59970.17,93276.68169632772,20,7.598399940850531,900.0,7886,0.2,,1.5553846470057986,0.5553846470057986
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,159804,2026-08-05,100117527,-3340|-4931,rio branco,23.2,122750.84,54652.66067652613,7,5.821483105468974,150.0,2612,0.2,,0.44523247805494554,0.5547675219450545
SALA COMERCIAL,baseline,teste_reservado,159308,2026-08-03,6840779,-3342|-4933,menino deus,72.39,390000.0,174296.28616914336,16,15.493146477535554,900.0,7886,0.2,,0.4469135542798548,0.5530864457201452
SALA COMERCIAL,baseline,teste_reservado,165417,2026-09-08,100058819,-3342|-4933,menino deus,45.06,228047.16,353945.40879620943,17,15.386359855777696,900.0,7886,0.2,,1.5520711101870746,0.5520711101870746
SALA COMERCIAL,baseline,teste_reservado,165416,2026-09-08,100058806,-3342|-4933,menino deus,45.06,228047.16,353945.40879620943,17,15.386359855777696,900.0,7886,0.2,,1.5520711101870746,0.5520711101870746
LOJA,baseline,teste_reservado,163320,2026-08-25,1271067,-3341|-4933,azenha,82.41,250000.0,387925.581197894,15,11.015043524933244,700.0,1774,0.2,,1.551702324791576,0.551702324791576
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161190,2026-08-13,11540826,-3339|-4927,jardim europa,20.01,160000.0,72057.06247441882,7,6.667062224045891,200.0,17117,0.0374643698062107,,0.45035664046511764,0.5496433595348824
APARTAMENTO,baseline,teste_reservado,164567,2026-09-01,10801790,-3339|-4922,rubem berta,32.4,48000.0,74308.59098668487,12,11.596273546819006,1200.0,96700,0.2,,1.5480956455559347,0.5480956455559347
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,159805,2026-08-05,100117588,-3340|-4931,rio branco,23.58,122750.83,55561.51282292796,7,5.817407563570306,150.0,2612,0.2,,0.45263655506792055,0.5473634449320794
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166553,2026-09-15,100002046,-3334|-4929,humaita,10.58,50000.0,22857.14285714286,7,7.0,200.0,17117,0.0374643698062107,,0.4571428571428572,0.5428571428571428
COBERTURA,baseline,teste_reservado,162790,2026-08-21,11676116,-3339|-4931,moinhos vento,332.76,4938424.94,2259005.5762963085,12,11.658018713985468,900.0,1688,0.2,,0.45743442570098236,0.5425655742990176
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,160230,2026-08-06,10937986,-3339|-4931,mont serrat,10.58,50000.0,22935.677439837666,7,6.966083234974778,150.0,2612,0.2,,0.4587135487967533,0.5412864512032467
CASA / RESIDÊNCIA,baseline,teste_reservado,161476,2026-08-14,100088069,-3352|-4925,restinga,40.01,122432.9,188666.6666666667,6,5.999999999999999,800.0,16815,0.1487989829969808,,1.5409801341523945,0.5409801341523945
APARTAMENTO,baseline,teste_reservado,165415,2026-09-08,100088664,-3342|-4934,praia de belas,41.75,335089.28,516232.7545560912,25,8.986130275779459,1200.0,96700,0.2,,1.5405827203904916,0.5405827203904916
CASA / RESIDÊNCIA,baseline,teste_reservado,164976,2026-09-03,10913505,-3339|-4929,boa vista,852.0,3814994.0,5874206.805663454,5,5.0,800.0,16815,0.1487989829969808,,1.5397682946980924,0.5397682946980924
SALA COMERCIAL,baseline,teste_reservado,159969,2026-08-06,1834436,-3339|-4933,centro historic,31.46,71250.0,109668.46308767202,16,15.915460739815172,900.0,7886,0.2,,1.5392064994760986,0.5392064994760986
COBERTURA,baseline,teste_reservado,164141,2026-08-28,5703093,-3340|-4931,rio branco,139.59,340000.0,523312.4394302981,12,11.803156537193532,900.0,1688,0.2,,1.5391542336185238,0.5391542336185238
SALA COMERCIAL,baseline,teste_reservado,165650,2026-09-08,790567,-3340|-4933,centro historic,37.16,53000.0,81529.91346318809,20,4.000290387630536,900.0,7886,0.2,,1.5383002540224167,0.5383002540224167
CASA / RESIDÊNCIA,baseline,teste_reservado,165105,2026-09-03,1379836,-3339|-4927,vila ipiranga,249.45,2450000.0,1134065.520672761,5,5.0,800.0,16815,0.1487989829969808,,0.462883885988882,0.537116114011118
SALA COMERCIAL,baseline,teste_reservado,159468,2026-08-03,7046936,-3338|-4931,floresta,35.25,75000.0,115247.89327021888,20,10.374201684145362,900.0,7886,0.2,,1.5366385769362516,0.5366385769362516
SALA COMERCIAL,baseline,teste_reservado,162394,2026-08-19,8070733,-3344|-4930,partenon,49.0,80000.0,122898.9327907527,16,15.934577558704625,900.0,7886,0.2,,1.5362366598844088,0.5362366598844088
LOJA,baseline,teste_reservado,161555,2026-08-14,2130785,-3340|-4934,centro historic,495.0,631606.0,967225.7872841822,12,11.966099203663276,700.0,1774,0.2,,1.5313752359606814,0.5313752359606814
APARTAMENTO,baseline,teste_reservado,163490,2026-08-20,7111940,-3342|-4932,azenha,38.63,120000.0,183125.89770714025,17,11.312678150003215,1200.0,96700,0.2,,1.5260491475595022,0.5260491475595022
